id,t,d+1,d,L,eps,U
10,5,1.0,1.0,1.0,0.5873265381862252,58.67021330287834
10,6,1.0,1.0,1.0,0.6609580254032992,57.660529319507724
10,7,2.0,1.0,0.0,-1.2395612113141954,54.91625582351675
10,8,2.0,2.0,1.0,1.3711365652811909,56.204076918210255
10,9,2.0,2.0,1.0,-0.7907802385023035,52.95884464383908
10,10,3.0,2.0,0.0,-1.6210737456682809,51.6663094117537
10,11,3.0,3.0,1.0,-0.3776367379626524,51.20535720320336
10,12,3.0,3.0,1.0,0.2547128086794443,50.754391279257774
10,13,3.0,3.0,1.0,-0.5715176467932379,48.844845353197414
10,14,4.0,3.0,0.0,-1.4600308241332327,47.33304752940297
10,15,4.0,4.0,1.0,1.887297470127616,49.1370295289429
10,16,4.0,4.0,1.0,-0.04415637552075233,46.12226021270685
10,17,4.0,4.0,1.0,2.127060434194176,47.21016155183409
10,18,4.0,4.0,1.0,1.2650836015749114,45.264869248627136
10,19,4.0,4.0,1.0,1.4821626507036065,44.39863282716815
10,20,4.0,4.0,1.0,-0.07229773737849045,41.760856968498366
10,21,4.0,4.0,1.0,0.32835959062711917,41.07819882591629
10,22,4.0,4.0,1.0,-0.47825442187598594,39.1882693428255
10,23,4.0,4.0,1.0,1.1170759106179502,39.70028420473175
10,24,4.0,4.0,1.0,-0.8953356899902333,36.604557133535884
10,25,4.0,4.0,1.0,0.4449946784001725,36.8615720313386
10,26,4.0,4.0,1.0,1.243230944003415,36.57649282635416
10,27,4.0,4.0,1.0,-0.7960633480694262,33.45388306369364
10,28,4.0,4.0,1.0,0.4419426915405776,33.60857363271595
10,29,4.0,4.0,1.0,1.229001846908853,33.31231731749654
10,30,4.0,4.0,1.0,0.6217646232981149,1000.6217646232981
11,1,0.0,0.0,1.0,-0.5577604544155215,61.858388192627324
11,2,1.0,0.0,0.0,-1.315603484151953,60.33283317645516
11,3,1.0,1.0,1.0,0.4596808460986745,60.70919855196615
11,4,1.0,1.0,1.0,0.2911661979543598,59.45736843323416
11,5,1.0,1.0,1.0,-0.3713312567550222,57.71155550793709
11,6,1.0,1.0,1.0,0.9152760279420858,57.91484732204651
11,7,1.0,1.0,1.0,1.5063171516569174,57.422572975173665
11,8,1.0,1.0,1.0,0.4666707863449251,55.29961113927399
11,9,1.0,1.0,1.0,0.7023530924658953,54.45197797480728
11,10,1.0,1.0,1.0,0.10073958623407885,52.76704899798778
11,11,1.0,1.0,1.0,-0.9912105943177009,50.59178334684832
11,12,1.0,1.0,1.0,-0.012399900333816308,50.48727857024451
